episode,timestep,reward
11,3200,-109.5774
15,6400,-109.3923
24,9600,-112.2755
31,12800,-107.3291
41,16000,-112.1737
44,19200,-110.3186
49,22400,-104.9335
51,25600,-91.4092
53,28800,-89.1981
57,32000,-95.427
60,35200,-100.3205
62,38400,-77.3642
64,41600,-75.8344
66,44800,-71.67
69,48000,-100.7427
71,51200,-74.2118
73,54400,-62.7582
75,57600,-56.7007
78,60800,-76.0949
80,64000,-61.2685
82,67200,-56.8364
84,70400,-52.2935
86,73600,-52.1553
88,76800,-47.0547
90,80000,-41.8842
92,83200,-32.8114
94,86400,-18.1543
96,89600,-10.6705
98,92800,-6.5571
100,96000,-1.1929
102,99200,-30.8646
104,102400,27.3112
106,105600,14.0782
108,108800,35.4595
110,112000,33.4326
112,115200,42.9648
114,118400,47.1914
116,121600,58.8411
118,124800,70.8144
121,128000,8.6422
123,131200,70.2174
125,134400,75.7673
128,137600,36.0852
130,140800,-14.6193
134,144000,3.309
136,147200,73.3247
138,150400,87.8585
140,153600,97.9714
142,156800,94.4488
144,160000,113.6089
146,163200,2.5815
148,166400,131.5306
150,169600,116.73
152,172800,135.8998
154,176000,133.8384
157,179200,80.25
160,182400,73.2094
162,185600,102.8979
165,188800,82.0164
168,192000,85.8899
170,195200,180.8748
172,198400,109.7099
174,201600,177.3803
176,204800,77.632
178,208000,105.2344
180,211200,168.5343
182,214400,194.626
184,217600,179.3138
186,220800,175.7664
188,224000,184.8803
191,227200,131.2874
193,230400,44.059
197,233600,28.39
199,236800,190.0331
202,240000,109.2832
204,243200,188.4337
206,246400,197.3115
208,249600,208.658
210,252800,218.5411
212,256000,211.4781
215,259200,124.3681
217,262400,196.021
219,265600,229.7773
221,268800,202.4476
223,272000,218.2729
225,275200,218.5238
227,278400,211.0081
229,281600,125.3689
231,284800,208.1958
233,288000,226.2669
235,291200,235.2607
237,294400,225.4922
239,297600,220.3089
241,300800,218.8402
243,304000,235.8013
245,307200,229.6957
247,310400,231.8646
249,313600,233.8487
251,316800,247.7952
253,320000,251.9333
255,323200,251.0648
257,326400,255.6739
259,329600,232.1594
262,332800,137.9662
264,336000,245.6496
268,339200,18.9864
270,342400,256.2822
272,345600,162.2413
274,348800,244.6593
276,352000,246.393
280,355200,72.3643
282,358400,244.5048
284,361600,254.3822
286,364800,258.0851
288,368000,245.9883
290,371200,253.8823
292,374400,260.0789
294,377600,246.8733
296,380800,269.0607
299,384000,149.7246
301,387200,254.4988
303,390400,261.0705
307,393600,81.8848
309,396800,247.6195
311,400000,267.6658
313,403200,253.99
316,406400,139.0251
318,409600,275.9652
320,412800,260.2507
322,416000,279.4995
324,419200,276.6868
326,422400,272.714
328,425600,266.7835
330,428800,183.3081
332,432000,276.7028
334,435200,276.8624
336,438400,277.228
338,441600,279.3282
340,444800,281.3133
342,448000,281.1951
344,451200,279.7545
346,454400,280.6759
348,457600,269.0287
350,460800,270.6012
352,464000,279.5281
356,467200,93.0252
359,470400,83.0932
363,473600,123.0042
365,476800,270.5052
367,480000,280.747
370,483200,177.2115
372,486400,284.5583
374,489600,274.5648
376,492800,275.642
378,496000,281.7403
380,499200,275.5353
382,502400,279.0431
384,505600,287.2731
386,508800,272.1196
388,512000,282.8058
390,515200,284.3055
392,518400,280.3436
394,521600,281.4774
396,524800,280.5177
398,528000,276.0697
400,531200,277.6005
402,534400,280.906
404,537600,286.2323
406,540800,277.6904
408,544000,281.7101
410,547200,281.1768
412,550400,281.2569
414,553600,287.7872
417,556800,160.2018
419,560000,286.936
421,563200,286.6315
423,566400,287.6206
425,569600,284.8786
427,572800,287.4126
429,576000,280.6171
431,579200,288.638
433,582400,284.7936
435,585600,280.0474
438,588800,175.2494
440,592000,288.3557
442,595200,287.1078
444,598400,283.1818
446,601600,287.1576
448,604800,288.2368
450,608000,287.2768
452,611200,286.133
454,614400,265.8505
456,617600,283.7708
458,620800,284.1253
460,624000,283.2793
462,627200,288.3151
464,630400,286.7115
466,633600,286.4193
468,636800,286.4057
470,640000,287.4739
472,643200,288.717
474,646400,284.6854
476,649600,284.8434
478,652800,270.8679
481,656000,281.5454
483,659200,283.9686
485,662400,111.3546
487,665600,284.9134
489,668800,286.618
491,672000,282.411
493,675200,290.0244
495,678400,282.6084
498,681600,282.2378
500,684800,289.729
502,688000,287.981
504,691200,288.2592
506,694400,282.8051
508,697600,290.059
510,700800,289.053
512,704000,290.733
514,707200,288.0488
516,710400,290.2592
518,713600,288.7737
520,716800,289.1982
522,720000,220.9655
524,723200,285.6657
526,726400,276.3771
528,729600,286.2128
530,732800,287.4109
532,736000,286.0379
534,739200,289.4548
536,742400,293.0363
538,745600,215.3028
540,748800,287.2326
542,752000,289.6054
545,755200,180.0519
547,758400,286.4717
550,761600,159.8203
552,764800,287.7893
554,768000,291.5203
556,771200,286.6304
558,774400,290.9212
560,777600,291.8254
563,780800,291.1624
565,784000,276.6537
567,787200,282.9978
569,790400,284.2048
571,793600,126.2454
573,796800,288.8625
575,800000,288.9781
577,803200,287.7645
579,806400,289.201
582,809600,171.1473
584,812800,289.256
586,816000,290.286
588,819200,291.8157
591,822400,293.1653
594,825600,160.8411
596,828800,289.0562
598,832000,288.3556
600,835200,281.9923
602,838400,292.7065
604,841600,289.837
606,844800,288.3969
608,848000,286.4448
610,851200,289.4967
612,854400,287.9185
614,857600,289.8527
616,860800,291.2004
618,864000,292.3984
620,867200,293.9378
622,870400,290.9438
