episode,timestep,reward
45,800,17.5333
88,1600,18.7907
122,2400,23.2059
157,3200,23.0
182,4000,32.12
206,4800,33.5
221,5600,51.7333
237,6400,48.8125
246,7200,91.1111
258,8000,63.25
264,8800,139.3333
271,9600,110.7143
276,10400,156.8
279,11200,200.0
284,12000,191.8
291,12800,130.1429
298,13600,110.8571
302,14400,185.5
305,15200,259.6667
309,16000,176.5
311,16800,315.0
315,17600,284.5
318,18400,205.6667
322,19200,180.5
326,20000,257.5
329,20800,240.6667
332,21600,248.3333
335,22400,219.6667
339,23200,234.5
341,24000,340.5
345,24800,278.5
349,25600,188.5
352,26400,250.0
354,27200,319.0
357,28000,331.6667
360,28800,286.6667
362,29600,313.5
365,30400,306.3333
367,31200,400.0
369,32000,381.5
371,32800,383.0
373,33600,305.5
375,34400,400.0
377,35200,400.0
379,36000,400.0
381,36800,395.0
383,37600,381.0
385,38400,400.0
387,39200,400.0
389,40000,400.0
391,40800,400.0
394,41600,372.3333
396,42400,400.0
398,43200,360.0
400,44000,397.0
402,44800,397.5
404,45600,400.0
406,46400,293.5
409,47200,316.6667
411,48000,400.0
413,48800,400.0
415,49600,400.0
417,50400,323.0
420,51200,337.3333
422,52000,321.0
424,52800,372.5
427,53600,306.0
429,54400,374.0
432,55200,328.0
435,56000,300.3333
437,56800,381.5
439,57600,400.0
441,58400,400.0
443,59200,400.0
445,60000,400.0
447,60800,354.0
449,61600,319.5
451,62400,379.5
454,63200,347.6667
457,64000,283.0
459,64800,400.0
461,65600,340.0
464,66400,259.3333
466,67200,396.0
468,68000,341.5
471,68800,347.6667
473,69600,400.0
475,70400,400.0
477,71200,400.0
479,72000,352.0
481,72800,336.0
483,73600,400.0
486,74400,362.3333
488,75200,242.0
491,76000,321.3333
493,76800,332.5
495,77600,398.0
498,78400,349.0
500,79200,400.0
502,80000,400.0
504,80800,400.0
506,81600,400.0
508,82400,397.5
510,83200,329.0
512,84000,381.0
514,84800,392.5
516,85600,400.0
520,86400,261.5
522,87200,400.0
524,88000,400.0
526,88800,400.0
528,89600,400.0
530,90400,400.0
532,91200,400.0
534,92000,400.0
536,92800,400.0
538,93600,400.0
540,94400,400.0
542,95200,400.0
544,96000,379.0
546,96800,400.0
548,97600,400.0
550,98400,400.0
552,99200,400.0
554,100000,400.0
