episode,timestep,reward
21,2000,-144.1206
42,4000,-171.6594
65,6000,-156.0396
85,8000,-141.5984
107,10000,-139.0941
128,12000,-145.6988
146,14000,-159.0667
166,16000,-121.0153
185,18000,-89.3415
202,20000,-76.7413
217,22000,-75.9529
233,24000,-37.9991
247,26000,-29.6429
255,28000,-0.5379
264,30000,2.4134
271,32000,-4.4139
277,34000,38.629
284,36000,29.1533
288,38000,-5.7712
292,40000,35.4146
297,42000,45.9037
299,44000,104.3841
303,46000,4.7061
309,48000,50.1385
315,50000,86.3422
317,52000,27.4056
321,54000,108.9067
325,56000,67.0647
327,58000,142.2914
329,60000,95.1039
331,62000,118.6463
333,64000,151.0787
335,66000,97.6373
337,68000,113.1427
339,70000,147.9507
343,72000,72.4738
345,74000,104.9501
347,76000,210.8051
351,78000,160.3362
354,80000,234.9143
358,82000,45.3006
363,84000,218.4305
372,86000,120.4883
379,88000,182.5453
384,90000,116.5712
388,92000,201.3357
394,94000,187.7007
399,96000,114.1624
404,98000,156.0938
412,100000,115.5219
417,102000,185.6996
426,104000,87.4771
433,106000,214.1847
441,108000,99.7785
449,110000,223.611
459,112000,100.3268
465,114000,241.3189
474,116000,168.6426
481,118000,130.9304
487,120000,227.9353
496,122000,168.7011
502,124000,207.9058
510,126000,224.014
518,128000,187.4651
527,130000,219.4205
535,132000,200.3467
541,134000,185.498
548,136000,192.3599
558,138000,204.192
566,140000,194.4648
573,142000,152.8824
578,144000,221.4357
586,146000,121.0428
593,148000,181.9791
602,150000,180.9628
611,152000,208.0658
616,154000,217.0638
623,156000,220.9277
629,158000,181.953
633,160000,132.9153
639,162000,258.3867
647,164000,274.8933
655,166000,269.5351
664,168000,184.6973
673,170000,266.6532
681,172000,154.5435
688,174000,212.243
696,176000,198.8922
704,178000,220.2305
710,180000,190.342
719,182000,178.2456
726,184000,174.372
735,186000,232.5322
741,188000,66.5091
749,190000,193.8577
760,192000,206.0711
768,194000,258.0791
775,196000,257.0801
785,198000,237.0966
795,200000,271.1803
805,202000,241.2412
814,204000,227.2656
823,206000,209.7021
829,208000,245.9638
838,210000,254.7364
847,212000,271.7452
858,214000,215.0564
865,216000,264.0394
872,218000,241.5313
879,220000,276.3773
884,222000,207.8694
893,224000,273.9809
902,226000,240.3566
911,228000,242.7875
922,230000,189.7162
927,232000,238.1826
931,234000,150.8897
935,236000,186.5422
942,238000,248.3234
949,240000,246.5118
955,242000,84.9562
963,244000,236.9403
971,246000,275.3292
978,248000,95.1748
986,250000,255.797
993,252000,266.6749
1001,254000,270.0102
1012,256000,228.8934
1021,258000,281.5016
1031,260000,182.1565
1039,262000,213.3688
1046,264000,246.893
1056,266000,232.1095
1064,268000,182.1711
1071,270000,183.6157
1081,272000,202.0277
1088,274000,214.0437
1096,276000,219.0504
1106,278000,235.3178
1113,280000,235.0578
1124,282000,239.5741
1136,284000,224.3691
1145,286000,255.3572
1155,288000,266.9838
1165,290000,254.8867
1174,292000,227.8818
1183,294000,147.949
1194,296000,207.6393
1202,298000,257.0761
1212,300000,252.2561
1225,302000,150.9181
1235,304000,198.5246
1246,306000,199.8698
1257,308000,206.6139
1266,310000,206.8404
1276,312000,210.2422
1284,314000,272.4793
1294,316000,245.2547
1304,318000,272.7037
1314,320000,245.1689
1324,322000,205.8533
1330,324000,130.946
1339,326000,240.5507
1347,328000,266.7828
1355,330000,207.264
1366,332000,257.9784
1372,334000,262.3817
1381,336000,254.8707
1390,338000,275.28
1397,340000,284.7799
1403,342000,192.2561
1410,344000,182.4457
1421,346000,202.1954
1427,348000,203.4359
